# x	y_vals	y_errs
0.000000000000000000e+00 0.000000000000000000e+00 5.230006486960933620e-02
2.222222222222222099e-01 4.938271604938271331e-02 6.907189397277806175e-02
4.444444444444444198e-01 1.975308641975308532e-01 1.065324303420722013e-01
6.666666666666666297e-01 4.444444444444444198e-01 6.155520075728863894e-02
8.888888888888888395e-01 7.901234567901234129e-01 8.251230743579195115e-02
1.111111111111111160e+00 1.234567901234568055e+00 1.637164955717047010e-01
1.333333333333333259e+00 1.777777777777777679e+00 2.095064520709307154e-01
1.555555555555555358e+00 2.419753086419752286e+00 3.167295606948445919e-01
1.777777777777777679e+00 3.160493827160493652e+00 3.272626117384975220e-01
2.000000000000000000e+00 4.000000000000000000e+00 4.512973940715149235e-01
